       290149377 function calls (285317559 primitive calls) in 474.401 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2534872    5.138    0.000   11.888    0.000 __init__.py:367(object_was_parsed)
     7462    0.005    0.000    0.005    0.000 __init__.py:37(_get_url)
      482    0.000    0.000    0.001    0.000 __init__.py:376(__iter__)
       21    0.000    0.000    0.000    0.000 __init__.py:384(__init__)
     7605    0.012    0.000    0.020    0.000 __init__.py:387(usesTime)
     7605    0.023    0.000    0.023    0.000 __init__.py:390(format)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
     2756    0.003    0.000    0.003    0.000 __init__.py:40(_set_url)
     1139    0.020    0.000    0.544    0.000 __init__.py:40(log)
       61    0.000    0.000    0.000    0.000 __init__.py:41(close)
    62870    0.029    0.000    0.029    0.000 __init__.py:41(meta)
     1144    0.011    0.000    0.014    0.000 __init__.py:42(lookup)
        3    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
  1736760    5.095    0.000    7.971    0.000 __init__.py:424(_popToTag)
     2952    0.018    0.000    0.028    0.000 __init__.py:43(normalize_encoding)
     2430    0.002    0.000    0.003    0.000 __init__.py:44(<lambda>)
     1617    0.001    0.000    0.006    0.000 __init__.py:44(__init__)
  1755445    8.029    0.000   70.074    0.000 __init__.py:447(handle_starttag)
        2    0.000    0.000    0.003    0.002 __init__.py:468(__init__)
    40233    0.013    0.000    0.013    0.000 __init__.py:47(_get_url)
       21    0.000    0.000    0.000    0.000 __init__.py:470(__init__)
  1736760    2.153    0.000   27.172    0.000 __init__.py:474(handle_endtag)
  2636708    1.363    0.000    1.842    0.000 __init__.py:479(handle_data)
     9092    0.006    0.000    0.006    0.000 __init__.py:49(_get_body)
       20    0.000    0.000    0.005    0.000 __init__.py:49(from_crawler)
     3802    0.010    0.000    0.063    0.000 __init__.py:495(formatTime)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
     2945    0.012    0.000    0.295    0.000 __init__.py:50(_set_url)
        1    0.000    0.000    0.000    0.000 __init__.py:51(__init__)
       38    0.000    0.000    0.000    0.000 __init__.py:51(set)
     4461    0.005    0.000    0.006    0.000 __init__.py:52(_set_body)
       35    0.000    0.000    0.207    0.006 __init__.py:521(formatException)
     7605    0.008    0.000    0.028    0.000 __init__.py:540(usesTime)
     7605    0.007    0.000    0.029    0.000 __init__.py:546(formatMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:56(<listcomp>)
     7605    0.037    0.000    0.417    0.000 __init__.py:562(format)
        1    0.000    0.000    0.000    0.000 __init__.py:58(<listcomp>)
     1749    0.011    0.000   26.294    0.015 __init__.py:59(download_request)
       64    0.000    0.000    0.001    0.000 __init__.py:61(_get_concurrency_delay)
     6324    0.003    0.000    0.003    0.000 __init__.py:62(_get_body)
       20    0.000    0.000    0.001    0.000 __init__.py:64(_set_crawler)
       94    0.000    0.000    0.000    0.000 __init__.py:65(__str__)
     2945    0.003    0.000    0.004    0.000 __init__.py:65(_set_body)
       54    0.000    0.000    0.010    0.000 __init__.py:67(_close)
       69    0.000    0.000    0.000    0.000 __init__.py:683(__init__)
       60    0.001    0.000    0.006    0.000 __init__.py:69(start_requests)
        2    0.000    0.000    0.004    0.002 __init__.py:7(<module>)
    53363    0.027    0.000    0.027    0.000 __init__.py:703(filter)
        1    0.000    0.000    0.000    0.000 __init__.py:71(<setcomp>)
       11    0.000    0.000    0.008    0.001 __init__.py:71(search_function)
       31    0.000    0.000    0.000    0.000 __init__.py:718(__init__)
     2430    0.005    0.000    0.074    0.000 __init__.py:73(_link_allowed)
     3829    0.001    0.000    0.001    0.000 __init__.py:73(encoding)
       36    0.000    0.000    0.000    0.000 __init__.py:733(_removeHandlerRef)
    29942    0.022    0.000    0.034    0.000 __init__.py:736(lookup)
     1215    0.017    0.000    0.361    0.000 __init__.py:74(replace)
       41    0.000    0.000    0.000    0.000 __init__.py:750(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:76(Downloader)
       41    0.000    0.000    0.001    0.000 __init__.py:769(__init__)
     4202    0.010    0.000    0.011    0.000 __init__.py:77(__str__)
       20    0.000    0.000    0.111    0.006 __init__.py:78(__init__)
       41    0.000    0.000    0.000    0.000 __init__.py:798(createLock)
    57165    0.036    0.000    0.060    0.000 __init__.py:807(acquire)
    57165    0.026    0.000    0.036    0.000 __init__.py:814(release)
      229    0.001    0.000    0.066    0.000 __init__.py:82(copy)
       21    0.000    0.000    0.000    0.000 __init__.py:821(setLevel)
     7605    0.014    0.000    0.431    0.000 __init__.py:827(format)
    49560    0.113    0.000    1.085    0.000 __init__.py:850(handle)
